Codigo,Localidad,ActividadEconomica,Year,PorcUso
5,"USME","LOTES",2013,0.000015461
5,"USME","OFICINAS",2013,0.012403594
5,"USME","OTROS",2013,0.021160975
5,"USME","RESIDENCIAL",2013,0.892226461
5,"USME","UNIVERSIDADES Y COLEGIOS",2013,0.028854597
5,"USME","BODEGAS",2014,0.015075181
5,"USME","CLINICAS, HOSPITALES, CENTROS MEDICOS",2014,0.000432976
5,"USME","COMERCIO",2014,0.016621194
5,"USME","HOTELES",2014,0.000000000
5,"USME","INDUSTRIA",2014,0.012857886
5,"USME","LOTES",2014,0.000014894
5,"USME","OFICINAS",2014,0.013649788
5,"USME","OTROS",2014,0.020113569
5,"USME","RESIDENCIAL",2014,0.891981788
5,"USME","UNIVERSIDADES Y COLEGIOS",2014,0.029252725
5,"USME","BODEGAS",2015,0.013575565
5,"USME","CLINICAS, HOSPITALES, CENTROS MEDICOS",2015,0.000413537
5,"USME","COMERCIO",2015,0.015801318
5,"USME","HOTELES",2015,0.000000000
5,"USME","INDUSTRIA",2015,0.012181351
5,"USME","LOTES",2015,0.000014225
5,"USME","OFICINAS",2015,0.013968897
5,"USME","OTROS",2015,0.021538308
5,"USME","RESIDENCIAL",2015,0.893521021
5,"USME","UNIVERSIDADES Y COLEGIOS",2015,0.028985777
5,"USME","BODEGAS",2016,0.013765714
5,"USME","CLINICAS, HOSPITALES, CENTROS MEDICOS",2016,0.000401537
5,"USME","COMERCIO",2016,0.015604417
5,"USME","HOTELES",2016,0.000000000
5,"USME","INDUSTRIA",2016,0.011101158
5,"USME","LOTES",2016,0.000013812
5,"USME","OFICINAS",2016,0.013791413
5,"USME","OTROS",2016,0.022549927
5,"USME","RESIDENCIAL",2016,0.893124084
5,"USME","UNIVERSIDADES Y COLEGIOS",2016,0.029647938
5,"USME","BODEGAS",2017,0.014588185
5,"USME","CLINICAS, HOSPITALES, CENTROS MEDICOS",2017,0.000389653
5,"USME","COMERCIO",2017,0.015587034
5,"USME","HOTELES",2017,0.000000000
5,"USME","INDUSTRIA",2017,0.010256432
5,"USME","LOTES",2017,0.000013403
5,"USME","OFICINAS",2017,0.013110138
5,"USME","OTROS",2017,0.021223065
5,"USME","RESIDENCIAL",2017,0.895791294
5,"USME","UNIVERSIDADES Y COLEGIOS",2017,0.029040796
5,"USME","BODEGAS",2018,0.014459588
5,"USME","CLINICAS, HOSPITALES, CENTROS MEDICOS",2018,0.000383877
5,"USME","COMERCIO",2018,0.015447331
5,"USME","HOTELES",2018,0.000000000
5,"USME","INDUSTRIA",2018,0.010174312
5,"USME","LOTES",2018,0.000000000
5,"USME","OFICINAS",2018,0.013000413
5,"USME","OTROS",2018,0.021282555
5,"USME","RESIDENCIAL",2018,0.896438135
5,"USME","UNIVERSIDADES Y COLEGIOS",2018,0.028813789
6,"TUNJUELITO","BODEGAS",2010,0.026320365
6,"TUNJUELITO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2010,0.003366228
